Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN730-35 | 730 | Federal Agricultural Mortgage Corporation | Placed on Senate Executive Calendar in the Privileged Nomination section with nominee information requested by the Committee on Agriculture, Nutrition, and Forestry, pursuant to S.Res. 116, 112th Congress.
PN730-39 | 730 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN730-45 | 730 | Federal Trade Commission | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN730-49 | 730 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN730-63 | 730 | Department of Defense | Received in the Senate and referred to the Committee on Armed Services.
PN352 | 352 | Army | Confirmed by the Senate by Voice Vote.
PN12-26 | 12 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 78 - 17. Record Vote Number: 494.
PN12-24 | 12 | Office of Personnel Management | Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 379.
PN12-22 | 12 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN13-1 | 13 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-37 | 26 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN13-3 | 13 | Small Business Administration | Confirmed by the Senate by Yea-Nay Vote. 49 - 45. Record Vote Number: 380.
PN25-42 | 25 | Commodity Futures Trading Commission | Received message of withdrawal of nomination from the President.
PN129-12 | 129 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-49 | 55 | Merit Systems Protection Board | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN129-10 | 129 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 507.
PN25-43 | 25 | Commodity Futures Trading Commission | Received message of withdrawal of nomination from the President.
PN25-8 | 25 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 459.
PN11-6 | 11 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 77 - 22. Record Vote Number: 21.
PN11-9 | 11 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 45. Record Vote Number: 57.
PN11-2 | 11 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 54 - 46. Record Vote Number: 33.
PN609 | 609 | Army | Confirmed by the Senate by Voice Vote.
PN22-14 | 22 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-24 | 55 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN12-8 | 12 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN26-33 | 26 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN29-2 | 29 | African Development Foundation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN55-30 | 55 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN29-1 | 29 | Inter-American Foundation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN62 | 62 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN55-20 | 55 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN60-2 | 60 | National Aeronautics and Space Administration | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN29-3 | 29 | African Development Foundation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN89 | 89 | Army | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN115 | 115 | European Bank for Reconstruction and Development | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN29-4 | 29 | Inter-American Foundation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN127-4 | 127 | Coast Guard | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN132-2 | 132 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN345-7 | 345 | National Transportation Safety Board | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN345-4 | 345 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN141-15 | 141 | Department of Housing and Urban Development | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN246-10 | 246 | Public Health Service | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN246-5 | 246 | Department of Defense | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN246-8 | 246 | United States Postal Service | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN251 | 251 | Army | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN141-4 | 141 | National Aeronautics and Space Administration | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN141-29 | 141 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN379-1 | 379 | African Development Bank | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN377 | 377 | Coast Guard | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN379-23 | 379 | Asian Development Bank | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN380-1 | 380 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN380-2 | 380 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN379-25 | 379 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN346-4 | 346 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN345-17 | 345 | Department of Defense | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN345-18 | 345 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN403-2 | 403 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN379-2 | 379 | Tennessee Valley Authority | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN445-9 | 445 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN445-8 | 445 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN416-8 | 416 | Department of Agriculture | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN405-2 | 405 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN440-2 | 440 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN420 | 420 | Navy | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN433 | 433 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN431 | 431 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN411 | 411 | Navy | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN438 | 438 | Space Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN416-1 | 416 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN518-4 | 518 | Export-Import Bank of the United States | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN499-4 | 499 | Federal Maritime Commission | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN499-6 | 499 | Department of the Treasury | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN499-5 | 499 | European Bank for Reconstruction and Development | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN559 | 559 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN519-3 | 519 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN519-1 | 519 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN555 | 555 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN465-6 | 465 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN499-9 | 499 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN499-3 | 499 | Department of Commerce | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN560-1 | 560 | Federal Labor Relations Authority | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN560-2 | 560 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN589 | 589 | Navy | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-9 | 585 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-6 | 585 | Department of Commerce | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN591 | 591 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-4 | 585 | Consumer Product Safety Commission | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN560-4 | 560 | Federal Agricultural Mortgage Corporation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-3 | 585 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN560-5 | 560 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-2 | 585 | Department of Defense | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-8 | 585 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-1 | 585 | Department of Labor | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-7 | 585 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN585-5 | 585 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN586 | 586 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-10 | 616 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN652 | 652 | Bureau of Consumer Financial Protection | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-9 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-7 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-5 | 616 | Department of Transportation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN645-1 | 645 | Department of the Interior | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN607 | 607 | Air Force | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-6 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-1 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-4 | 616 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-3 | 616 | Department of State | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-13 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-11 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-8 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-12 | 616 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN616-2 | 616 | Department of Defense | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN655-1 | 655 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN654 | 654 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN653 | 653 | Equal Employment Opportunity Commission | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN673-1 | 673 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN673-4 | 673 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN672 | 672 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN673-3 | 673 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN673-2 | 673 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN655-3 | 655 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN655-2 | 655 | The Judiciary | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN721 | 721 | Army | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN725 | 725 | Navy | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN722 | 722 | Marine Corps | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN724 | 724 | Marine Corps | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN723 | 723 | Marine Corps | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN22-11 | 22 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN25-29 | 25 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN26-24 | 26 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN55-26 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN55-10 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN55-13 | 55 | National Labor Relations Board | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN26-47 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN55-2 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN60-12 | 60 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN60-11 | 60 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN60-4 | 60 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN60-13 | 60 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN55-34 | 55 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN55-44 | 55 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN129-17 | 129 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN129-7 | 129 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN129-1 | 129 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN129-6 | 129 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-10 | 141 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-8 | 141 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN60-17 | 60 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-12 | 141 | National Endowment for the Arts | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-1 | 246 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-27 | 141 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-12 | 246 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-22 | 141 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-14 | 141 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-20 | 141 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-26 | 141 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-4 | 246 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-6 | 246 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-13 | 246 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN141-16 | 141 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-3 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN345-14 | 345 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN345-12 | 345 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN345-10 | 345 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-15 | 379 | Tennessee Valley Authority | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-13 | 379 | Tennessee Valley Authority | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-17 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-18 | 379 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-16 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN345-13 | 345 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-11 | 379 | Tennessee Valley Authority | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-9 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-7 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-4 | 379 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-19 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-4 | 416 | Tennessee Valley Authority | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-2 | 416 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-10 | 416 | National Labor Relations Board | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-26 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-9 | 416 | National Labor Relations Board | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-22 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-21 | 379 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN379-20 | 379 | Social Security Administration | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-6 | 416 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-5 | 416 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN416-3 | 416 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN465-1 | 465 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN445-11 | 445 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN445-10 | 445 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN445-7 | 445 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN445-5 | 445 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN445-2 | 445 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN465-2 | 465 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN462-4 | 462 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN445-1 | 445 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN462-1 | 462 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN462-3 | 462 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN499-2 | 499 | Federal Maritime Commission | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN519-2 | 519 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN499-12 | 499 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN619 | 619 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN560-3 | 560 | Federal Deposit Insurance Corporation | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN291-4 | 291 | Air Force | Confirmed by the Senate by Voice Vote.
PN473 | 473 | Navy | Confirmed by the Senate by Voice Vote.
PN556-4 | 556 | Army | Confirmed by the Senate by Voice Vote.
PN667 | 667 | Navy | Confirmed by the Senate by Voice Vote.
PN674 | 674 | Army | Confirmed by the Senate by Voice Vote.
PN657 | 657 | Army | Confirmed by the Senate by Voice Vote.
PN664 | 664 | Navy | Confirmed by the Senate by Voice Vote.
PN656 | 656 | Air Force | Confirmed by the Senate by Voice Vote.
PN663 | 663 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN662 | 662 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN666 | 666 | Navy | Confirmed by the Senate by Voice Vote.
PN645-2 | 645 | Nuclear Regulatory Commission | Confirmed by the Senate by Yea-Nay Vote. 71 - 29. Record Vote Number: 652.
PN661 | 661 | Air Force | Confirmed by the Senate by Voice Vote.
PN668 | 668 | Navy | Confirmed by the Senate by Voice Vote.
PN671 | 671 | Space Force | Confirmed by the Senate by Voice Vote.
PN670 | 670 | Space Force | Confirmed by the Senate by Voice Vote.
PN660 | 660 | Air Force | Confirmed by the Senate by Voice Vote.
PN669 | 669 | Navy | Confirmed by the Senate by Voice Vote.
PN665 | 665 | Navy | Confirmed by the Senate by Voice Vote.
PN650 | 650 | National Aeronautics and Space Administration | Confirmed by the Senate by Yea-Nay Vote. 67 - 30. Record Vote Number: 650.
PN659 | 659 | Air Force | Confirmed by the Senate by Voice Vote.
PN684 | 684 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN692 | 692 | Army | Confirmed by the Senate by Voice Vote.
PN694 | 694 | Navy | Confirmed by the Senate by Voice Vote.
PN683 | 683 | Army | Confirmed by the Senate by Voice Vote.
PN693 | 693 | Army | Confirmed by the Senate by Voice Vote.
PN679 | 679 | Army | Confirmed by the Senate by Voice Vote.
PN695 | 695 | Navy | Confirmed by the Senate by Voice Vote.
PN678 | 678 | Army | Confirmed by the Senate by Voice Vote.
PN700 | 700 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN708 | 708 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN707 | 707 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN705 | 705 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN718 | 718 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN717 | 717 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN687 | 687 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN696 | 696 | Space Force | Received in the Senate and referred to the Committee on Armed Services.
PN291-2 | 291 |  | Placed on Senate Executive Calendar. Calendar No. 296.
PN432 | 432 | Air Force | Confirmed by the Senate by Voice Vote.
PN291-3 | 291 | Air Force | Confirmed by the Senate by Voice Vote.
PN626 | 626 | Army | Confirmed by the Senate by Voice Vote.
PN613 | 613 | Army | Confirmed by the Senate by Voice Vote.
PN625 | 625 | Army | Confirmed by the Senate by Voice Vote.
